内容,所要,予算,場所
"深呼吸を10回する。","1分","0円","室内"
"冷蔵庫の中を1段だけ整える。","5分","0円","室内"
"机の上のいらない紙を3枚捨てる。","2分","0円","室内"
"財布の中身を一度全部出して戻す。","3分","0円","室内"
"今日やらないことを1つ決める。","2分","0円","室内"
"未読メールを1通だけ処理する。","3分","0円","室内"
"カーテンを開けて光を浴びる。","1分","0円","室内"
"白湯をゆっくり飲む。","3分","0円","室内"
"背筋を伸ばして1分座る。","1分","0円","室内"
"スマホを5分触らない。","5分","0円","室内"
"いつもと逆方向に100歩歩く。","3分","0円","屋外"
"空を見上げて雲の形を探す。","2分","0円","屋外"
"コンビニで知らない商品を1つ手に取る。","5分","〜500円","屋外"
"近所の花を1つ見つける。","5分","0円","屋外"
"自販機のラインナップをじっくり見る。","2分","0円","屋外"
"5分だけ遠回りして帰る。","5分","0円","屋外"
"公園のベンチに1分座る。","3分","0円","屋外"
"歩きながら好きな曲を1曲聴く。","4分","0円","屋外"
"100円だけ募金する。","3分","〜100円","屋外"
"貯金箱に10円入れる。","1分","10円","室内"
"使ってないサブスクを確認する。","5分","0円","室内"
"今日の無駄遣いを1つ減らす。","1分","0円","室内"
"冷蔵庫の余り物で何か作る。","10分","0円","室内"
"最近話してない人を1人思い出す。","1分","0円","室内"
"ありがとうを1回多く言う。","1分","0円","屋内/屋外"
"スタンプだけでも誰かに送る。","2分","0円","室内"
"昔の写真を1枚見返す。","2分","0円","室内"
"「元気？」と一言送る。","2分","0円","室内"
"冷蔵庫の中の一番古いものを確認する。","3分","0円","室内"
"今日のラッキーカラーを勝手に決める。","1分","0円","室内"
"3年前の自分を思い出す。","2分","0円","室内"
"未来の自分に一言考える。","3分","0円","室内"
"今日よかったことを1つ書く。","2分","0円","室内"
"「なんとなく」を言語化する。","3分","0円","室内"
"今の気持ちに名前をつける。","2分","0円","室内"
"家の中で一番高いところを見る。","1分","0円","室内"
"左右逆の手で歯磨きをする。","3分","0円","室内"
"エレベーターのボタンをゆっくり押す。","1分","0円","屋内"
"コンビニで一番高いお菓子を値段だけ見る。","3分","0円","屋外"
"知らない単語を1つ調べる。","3分","0円","室内"
"テレビの音を一度消す。","1分","0円","室内"
"机の上を10cmだけ片付ける。","2分","0円","室内"
"知らない店に入る。","10分","0円","屋外"
"普段選ばないメニューを選ぶ。","5分","〜1000円","屋外"
"今日1回だけ断る勇気を出す。","1分","0円","屋内/屋外"
"鏡を見て10秒自分を見る。","1分","0円","室内"
"エスカレーターを使わず階段にする。","3分","0円","屋外"
"ご飯をいつもよりゆっくり食べる。","30分","0円","室内"
"靴下を左右逆に履いてみる。","1分","0円","室内"
"冷蔵庫を開けて3秒考えて閉める。","1分","0円","室内"
"家の中で一番丸いものを探す。","3分","0円","室内"
"自分の名前を心の中で3回言う。","1分","0円","室内"
"今日のテーマカラーを勝手に決める。","1分","0円","室内"
"スマホを裏返して置く。","10分","0円","室内"
"利き手じゃない方でコップを持つ。","1分","0円","室内"
"家の中の音を30秒聞く。","1分","0円","室内"
"窓の外を1分だけ観察する。","1分","0円","室内"
"机の上の物を1つだけ動かす。","1分","0円","室内"
"お茶をゆっくり飲む。","10分","0円","室内"
"お風呂でスマホを使わない。","10分","0円","浴室"
"鼻歌を歌う。","1分","0円","室内"
"翌月のカレンダーを見る。","1分","0円","室内"
"空を見上げて雲に名前をつける。","2分","0円","屋外"
"信号待ちで深呼吸する。","1分","0円","屋外"
"公園のベンチを一瞬使う。","2分","0円","屋外"
"建物の影を見て形を想像する。","2分","0円","屋外"
"風の音を10秒聞く。","1分","0円","屋外"
"足音に意識を向けて歩く。","2分","0円","屋外"
"その場でジャンプをする。","1秒","0円","屋外"
"ゴミを見つけたら拾って捨てる。","5分","0円","屋外"
"ニヤリとしてみる。","1分","0円","室内"
"一旦諦める。","3秒","0円","室内"
"今日のラッキーナンバーを決める。","1分","0円","室内"
"家の中で一番古いところを見る。","1分","0円","室内"
"3年前の今日を想像する。","2分","0円","室内"
"好きな単語を1つ選ぶ。","1分","0円","室内"
"5秒だけ姿勢を正す。","1分","0円","室内"
"今日の自分にタイトルをつける。","2分","0円","室内"
"鏡に向かって軽く会釈する。","1分","0円","室内"
"スマホの明るさを少し下げる。","1分","0円","室内"
"決めセリフを言う。","1分","0円","室内"
"普段読まないカテゴリーの本を買う。","5分","〜1000円","屋外"
"窓を少しだけ開ける。","1分","0円","室内"
"目を閉じて30秒静かにする。","1分","0円","室内"
"手を温める。","1分","0円","室内"
"背伸びをする。","1分","0円","室内"
"今日は少しだけ遠回りする。","5分","0円","屋外"
"いつもと違う順番で準備する。","3分","0円","室内"
"今日の気分に色をつける。","2分","0円","室内"
"何もしない時間を1分作る。","1分","0円","室内"
"深呼吸を3回してから肩を回す。","2分","0円","室内"
"机の上の物を1つだけ元の場所に戻す。","1分","0円","室内"
"今日いちばん気になっていることを一言メモする。","2分","0円","室内"
"玄関で靴をそろえる。","1分","0円","室内"
"コップ1杯の水をゆっくり飲む。","2分","0円","室内"
"家の近くで空を10秒見上げる。","1分","0円","屋外"
"いつも通る道で1つ新しい看板を見つける。","3分","0円","屋外"
"財布の中のレシートを1枚だけ整理する。","2分","0円","室内"
"使っていないアプリを1つフォルダにまとめる。","2分","0円","室内"
"コンビニで買わずに新商品を1つ眺める。","2分","0円","屋外"
